movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
Fera Feri Hera Pheri,Gujarati,2018,13+,143,7.4
Sagar Sangame,Bengali,2017,13+,103,0
Lechmi,Malayalam,2017,18+,149,4.9
Anthony Kaun Hai,Hindi,2006,13+,122,5.2
A Call to Spy,Hindi,2020,16+,124,6.3
Astro Boy,English,2009,7+,93,6.3
How The Earth Became Round,English,2019,13+,60,0
Danga,Bengali,1994,NR,147,0
Utsargo,Bengali,1983,NR,91,0
Born To Race : Fast Track,Hindi,2014,16+,97,5.3
Mantra Shakti - Bengali,Bengali,None,NR,103,0
Kempe Gowda,Kannada,2011,NR,140,7.1
The Prince and Me,English,2004,7+,110,5.9
Har Har Byomkesh,Bengali,2017,13+,113,6.8
Dilliwala Rajakumaran,Malayalam,1996,NR,108,5.9
Bombhaat,Telugu,2020,16+,132,6.4
Sudhu Tomaree Pratiksha,Bengali,2018,13+,106,0
Sadhuram 2,Tamil,2016,13+,92,6.8
Chakra,Bengali,2006,NR,122,8.7
Just a Sigh,English,2013,7+,100,6.4
Priyuralu Pilichindi,Telugu,2000,All,157,0
Nil Battey Sannata,Hindi,2016,NR,104,8.3
Goraay Gondogol,Bengali,2018,13+,154,0
The Raid: Redemption,Telugu,2012,18+,97,7.6
Final Destination 5,Telugu,2011,18+,91,5.8
Skaters & Thieves,English,2020,13+,23,0
The Courier,Tamil,2019,18+,99,4.8
Daredevil,English,2003,18+,103,5.3
It Felt Like Love,English,2013,NR,82,5.7
High School 2,Telugu,2011,NR,105,5.4
Surya,Bengali,2017,13+,141,5.7
The Closed Door,Hindi,2014,NR,111,0
Boss,Bengali,2019,13+,137,0
Journey,Kannada,2011,NR,120,6.3
Dora And The Lost City Of Gold,English,2019,7+,102,6.1
Royal Bengal Rahasya,Bengali,2017,13+,107,7.2
Taraana,Hindi,1979,NR,111,0
Mantra – Sounds of Silence,English,2019,13+,57,0
Yogi,Kannada,2009,13+,142,0
Ubiquity,English,2020,13+,55,6.6
Superman Returns,Tamil,2006,All,154,6
Hashi Khushi Club,Bengali,2009,All,115,0
Chokher Bali,Bengali,2003,13+,149,7
Clash Of The Titans,English,2010,13+,106,5.8
Jhoothi Shaan,Hindi,1991,NR,139,5.2
Khabardar,Marathi,2005,All,150,6.9
Hero No. 1,Hindi,1997,NR,130,6.1
Churchill,English,2017,16+,104,6.1
Thaai Pirandhaal,Tamil,1974,NR,138,0
Marte Dam Tak,Hindi,1987,All,125,4.8
Bade Miyan Chote Miyan,Hindi,1988,NR,138,0
Abhoyer Biye,Bengali,2017,13+,127,6.2
Anhonee,Hindi,1972,All,127,7.2
Sullu,Malayalam,2019,All,102,6.6
City Of Gold - Mumbai 1982,Hindi,2010,13+,144,6.8
Devdas,Bengali,2005,All,140,7.6
Odeya,Kannada,2019,13+,162,4.4
Bal Ganesh Part II,Hindi,2009,All,73,6.8
The White Haired Witch Of Lunar Kingdom,Hindi,2016,13+,99,5.4
Khud-Daar,Hindi,1982,All,163,6.9
Naach Nagini Naach Re,Bengali,2017,13+,157,5.7
Contract To Kill,Tamil,2016,13+,88,3.4
And Soon the Darkness,English,2010,18+,91,5.2
Shakti,Telugu,2011,18+,168,0
Fogo,English,2012,NR,61,0
Oram Po,Tamil,2007,All,109,6.7
Raja Babu,Bengali,2017,13+,165,6.3
Dharani Mandala Madhyadolage,Kannada,1983,NR,146,7.5
Shakthi Yukthi,Kannada,1992,NR,102,0
Guru Dakshina,Bengali,2017,13+,146,7.2
Rojulu Marayi (New),Telugu,2016,13+,131,5.8
Black and Blue,English,2019,18+,107,6.4
The Warrior's Way,English,2010,18+,96,6.3
Navri Mile Navryala,Marathi,1984,All,142,7.6
Suhaagan,Hindi,1986,All,144,6.1
Lovers,Telugu,2014,13+,122,0
Chitralahari,Telugu,2019,All,119,7.1
Art of Darkness,English,2020,13+,85,3.2
Bobbili Dora,Telugu,1997,NR,123,0
6 - 5  2,Hindi,2014,13+,103,4.2
Tahaan,Hindi,2008,All,94,7.1
Premalayam,Telugu,1994,All,184,0
Aatishbaazi Ishq,Punjabi,2016,13+,145,5.4
Resident Evil: Extinction,English,2007,18+,94,6.3
Harry Potter and the Chamber of Secrets,English,2002,All,160,7.4
Aanandam,Malayalam,2016,All,118,7.2
Kaiyethum Doorath,Malayalam,2002,NR,146,3.4
Talaash - The Hunt Begins,Hindi,2003,13+,152,4.7
Cappuccino,Marathi,2014,All,122,5.4
Western Stars,English,2019,13+,83,7.5
Enakku 20 Unakku 18,Tamil,2003,13+,157,5.3
Waqt,Hindi,None,All,132,7.8
Sawaal,Kannada,2014,NR,118,6.1
Fighting Is From The Sea,English,2020,13+,86,0
Born To Race : Fast Track,Marathi,2014,16+,97,5.3
The Lodge,Telugu,2020,18+,108,6.1
Aase Abhilashe,Kannada,2000,NR,91,0
Driven to Kill,English,2009,18+,98,5.1
Jagadeka Veeruni Katha,Telugu,None,All,172,7.8
